"Date","Time","Open","High","Low","Close","Vol","OI","Volume"
03/11/2019,15:00,6.95,6.98,6.55,6.59,62544507,0,62544507.00
03/12/2019,15:00,6.62,6.64,6.37,6.39,41615989,0,41615989.00
03/13/2019,15:00,6.32,6.77,6.24,6.53,41727215,0,41727215.00
03/14/2019,15:00,6.63,6.64,6.00,6.03,58983387,0,58983387.00
03/15/2019,15:00,6.12,6.13,5.71,5.71,85776969,0,85776969.00
03/18/2019,15:00,5.69,5.95,5.44,5.75,76506119,0,76506119.00
03/19/2019,15:00,5.75,6.03,5.73,5.96,54509153,0,54509153.00
03/20/2019,15:00,6.02,6.03,5.71,5.85,39053693,0,39053693.00
03/21/2019,15:00,5.75,5.95,5.74,5.84,21368941,0,21368941.00
03/22/2019,15:00,5.80,5.87,5.60,5.62,24956464,0,24956464.00
03/25/2019,15:00,5.62,5.66,5.27,5.35,38993269,0,38993269.00
03/26/2019,15:00,5.20,5.22,4.90,4.96,67206268,0,67206268.00
03/27/2019,15:00,5.01,5.19,4.96,4.98,39753377,0,39753377.00
03/28/2019,15:00,5.04,5.17,4.93,5.01,29458068,0,29458068.00
03/29/2019,15:00,5.06,5.13,5.03,5.10,23595909,0,23595909.00
04/01/2019,15:00,5.29,5.40,5.14,5.21,32404597,0,32404597.00
04/02/2019,15:00,5.43,5.61,5.35,5.39,55814771,0,55814771.00
04/03/2019,15:00,5.55,5.58,5.23,5.31,35320203,0,35320203.00
04/04/2019,15:00,5.39,5.50,5.27,5.35,31696613,0,31696613.00
04/05/2019,15:00,5.37,5.40,5.31,5.36,18093412,0,18093412.00
04/08/2019,15:00,5.33,5.38,5.25,5.30,17349772,0,17349772.00
04/09/2019,15:00,5.28,5.28,5.06,5.08,32590061,0,32590061.00
04/10/2019,15:00,5.06,5.11,4.96,5.05,25958722,0,25958722.00
04/11/2019,15:00,5.00,5.09,4.97,5.01,17642573,0,17642573.00
04/12/2019,15:00,5.03,5.06,4.95,4.99,15561263,0,15561263.00
04/15/2019,15:00,4.99,5.00,4.72,4.75,27489142,0,27489142.00
04/16/2019,15:00,4.80,4.81,4.43,4.45,46354509,0,46354509.00
04/17/2019,15:00,4.61,4.72,4.51,4.59,30546383,0,30546383.00
04/18/2019,15:00,4.53,4.92,4.44,4.79,31206503,0,31206503.00
04/22/2019,15:00,4.74,4.81,4.62,4.78,12936684,0,12936684.00
04/23/2019,15:00,4.82,4.92,4.73,4.83,15106971,0,15106971.00
04/24/2019,15:00,4.79,5.01,4.75,5.00,20401275,0,20401275.00
04/25/2019,15:00,5.01,5.15,4.85,4.90,21552804,0,21552804.00
04/26/2019,15:00,4.85,4.93,4.77,4.92,11891337,0,11891337.00
04/29/2019,15:00,4.89,5.05,4.87,4.98,15202827,0,15202827.00
04/30/2019,15:00,4.98,5.08,4.80,4.85,14434585,0,14434585.00
05/01/2019,15:00,4.84,4.85,4.68,4.68,13308347,0,13308347.00
05/02/2019,15:00,4.74,4.75,4.57,4.72,14080431,0,14080431.00
05/03/2019,15:00,4.73,5.11,4.73,5.02,25245547,0,25245547.00
05/06/2019,15:00,4.72,4.88,4.69,4.88,16144442,0,16144442.00
05/07/2019,15:00,4.81,4.92,4.76,4.84,11545700,0,11545700.00
05/08/2019,15:00,4.79,4.81,4.56,4.57,20456913,0,20456913.00
05/09/2019,15:00,4.54,4.70,4.51,4.60,15759712,0,15759712.00
05/10/2019,15:00,4.60,4.66,4.51,4.56,17146542,0,17146542.00
05/13/2019,15:00,4.50,4.50,4.30,4.33,21804468,0,21804468.00
05/14/2019,15:00,4.47,4.67,4.41,4.67,27925652,0,27925652.00
05/15/2019,15:00,4.59,4.75,4.53,4.71,14668954,0,14668954.00
05/16/2019,15:00,4.65,4.85,4.61,4.66,16197999,0,16197999.00
05/17/2019,15:00,4.58,4.70,4.42,4.42,19775669,0,19775669.00
05/20/2019,15:00,4.38,4.40,4.11,4.25,23571672,0,23571672.00
05/21/2019,15:00,4.35,4.45,4.25,4.29,23435345,0,23435345.00
05/22/2019,15:00,4.25,4.30,4.00,4.05,35451326,0,35451326.00
05/23/2019,15:00,3.96,4.03,3.83,3.93,27855521,0,27855521.00
05/24/2019,15:00,3.98,4.05,3.81,3.86,26069358,0,26069358.00
05/28/2019,15:00,4.12,4.14,3.88,4.00,114474424,0,114474424.00
05/29/2019,15:00,3.89,3.90,3.60,3.61,41690392,0,41690392.00
05/30/2019,15:00,3.55,3.55,3.11,3.24,55942228,0,55942228.00
05/31/2019,15:00,3.07,3.15,3.00,3.05,39383312,0,39383312.00
06/03/2019,15:00,2.98,3.06,2.74,2.96,51792961,0,51792961.00
06/04/2019,15:00,3.04,3.11,2.97,3.04,30924022,0,30924022.00
06/05/2019,15:00,3.07,3.09,2.76,2.83,38179137,0,38179137.00
06/06/2019,15:00,2.90,2.90,2.54,2.65,54094341,0,54094341.00
06/07/2019,15:00,2.64,2.81,2.55,2.76,31397929,0,31397929.00
06/10/2019,15:00,2.75,2.82,2.59,2.63,35989051,0,35989051.00
06/11/2019,15:00,2.67,2.67,2.55,2.61,33070093,0,33070093.00
06/12/2019,15:00,2.62,2.62,2.50,2.55,30099492,0,30099492.00
06/13/2019,15:00,2.55,2.62,2.50,2.52,21962643,0,21962643.00
06/14/2019,15:00,2.44,2.45,2.35,2.42,27065748,0,27065748.00
06/17/2019,15:00,2.39,2.53,2.35,2.46,20830117,0,20830117.00
06/18/2019,15:00,2.52,2.71,2.45,2.53,50080849,0,50080849.00
06/19/2019,15:00,2.67,2.84,2.56,2.74,43761943,0,43761943.00
06/20/2019,15:00,2.87,3.05,2.80,2.83,55697201,0,55697201.00
06/21/2019,15:00,2.88,2.90,2.57,2.64,49602361,0,49602361.00
06/24/2019,15:00,2.61,2.69,2.51,2.64,22693858,0,22693858.00
06/25/2019,15:00,2.64,2.66,2.55,2.60,16289847,0,16289847.00
06/26/2019,15:00,2.64,2.73,2.54,2.55,20679334,0,20679334.00
06/27/2019,15:00,2.51,2.62,2.44,2.60,27685620,0,27685620.00
06/28/2019,15:00,2.60,2.63,2.51,2.55,17640326,0,17640326.00
07/01/2019,15:00,2.67,2.68,2.58,2.60,19541552,0,19541552.00
07/02/2019,15:00,2.60,2.85,2.57,2.82,35317275,0,35317275.00
07/03/2019,15:00,2.93,3.29,2.90,3.13,75342426,0,75342426.00
07/05/2019,15:00,3.31,3.34,3.15,3.26,35914642,0,35914642.00
07/08/2019,15:00,3.21,3.50,3.13,3.49,40423954,0,40423954.00
07/09/2019,15:00,3.58,3.90,3.42,3.69,87406073,0,87406073.00
07/10/2019,15:00,3.95,4.00,3.60,3.68,85126060,0,85126060.00
07/11/2019,15:00,3.64,3.68,3.32,3.42,57070344,0,57070344.00
07/12/2019,15:00,3.34,3.64,3.32,3.45,39432181,0,39432181.00
07/15/2019,15:00,3.49,3.52,3.34,3.39,19833129,0,19833129.00
07/16/2019,15:00,3.40,3.45,3.26,3.30,25764637,0,25764637.00
07/17/2019,15:00,3.28,3.52,3.25,3.44,26704968,0,26704968.00
07/18/2019,15:00,3.47,3.50,3.31,3.43,17652624,0,17652624.00
07/19/2019,15:00,3.43,3.48,3.36,3.37,13784331,0,13784331.00
07/22/2019,15:00,3.38,3.45,3.31,3.38,12376944,0,12376944.00
07/23/2019,15:00,3.43,3.49,3.37,3.46,12462047,0,12462047.00
07/24/2019,15:00,3.45,3.75,3.44,3.67,38844783,0,38844783.00
07/25/2019,15:00,3.68,3.72,3.50,3.50,26513325,0,26513325.00
07/26/2019,15:00,3.56,3.62,3.50,3.51,15606285,0,15606285.00
07/29/2019,15:00,3.55,3.58,3.32,3.46,25890697,0,25890697.00
07/30/2019,15:00,3.43,3.44,3.35,3.38,14127899,0,14127899.00
07/31/2019,15:00,3.38,3.53,3.36,3.47,19917224,0,19917224.00
08/01/2019,15:00,3.45,3.51,3.20,3.28,28758382,0,28758382.00
08/02/2019,15:00,3.21,3.33,3.16,3.27,17211310,0,17211310.00
08/05/2019,15:00,3.14,3.14,2.85,2.95,38736177,0,38736177.00
08/06/2019,15:00,3.09,3.14,3.00,3.08,23455749,0,23455749.00
08/07/2019,15:00,3.04,3.09,2.93,3.09,18090390,0,18090390.00
08/08/2019,15:00,3.13,3.26,3.11,3.17,20999758,0,20999758.00
08/09/2019,15:00,3.13,3.18,3.10,3.13,10609998,0,10609998.00
08/12/2019,15:00,3.05,3.11,2.96,3.05,15019887,0,15019887.00
08/13/2019,15:00,3.00,3.20,3.00,3.15,18607576,0,18607576.00
08/14/2019,15:00,3.08,3.08,2.88,2.90,28205946,0,28205946.00
08/15/2019,15:00,2.99,2.99,2.77,2.82,15735986,0,15735986.00
08/16/2019,15:00,2.89,3.01,2.86,2.95,15884219,0,15884219.00
08/19/2019,15:00,3.00,3.10,3.00,3.00,13657084,0,13657084.00
